47  2331.5 1.31 60 0  2991 1.23 60 0  2312 1.3 60 0  2986 1.26 60 0  
48  2128.5 1.26 60 0  2991 1.3 60 0  2184.5 1.28 60 0  2986 1.27 60 0  
49  2337.5 1.31 60 0  2996 1.26 60 0  2302 1.3 60 0  2988 1.23 60 0  
50  2229.5 1.28 60 0  2996 1.27 60 0  2355.5 1.32 60 0  2993 1.23 60 0  
51  2159 1.26 60 0  2971 1.26 60 0  2136 1.26 60 0  2993 1.26 60 0  
52  2258.5 1.29 60 0  2974 1.28 60 0  2279.5 1.29 60 0  2979 1.24 60 0  
53  2251 1.29 60 0  2974 1.27 60 0  2226 1.28 60 0  2979 1.3 60 0  
54  2302.5 1.29 60 0  2986.5 1.26 60 0  2286.5 1.29 60 0  2983.5 1.23 60 0  
55  2085.5 1.25 60 0  2986.5 1.26 60 0  2210 1.28 60 0  2983.5 1.23 60 0  
56  2089 1.25 60 0  2951.5 1.23 60 0  2006 1.24 60 0  2973.5 1.25 60 0  
57  2244.5 1.29 60 0  2971 1.28 60 0  2152.5 1.26 60 0  2951.5 1.29 60 0  
58  2321 1.31 60 0  2989 1.24 60 0  2196 1.28 60 0  2967.5 1.23 60 0  
59  2367 1.32 60 0  2989 1.23 60 0  2198 1.28 60 0  2967.5 1.25 60 0  
60  2290 1.29 60 0  2988.5 1.23 60 0  2329.5 1.31 60 0  2991 1.26 60 0  
61  2234 1.28 60 0  2984 1.27 60 0  2326.5 1.31 60 0  2991 1.23 60 0  
62  2353.5 1.32 60 0  2986 1.3 60 0  2155 1.26 60 0  2988 1.3 60 0  
63  2341.5 1.32 60 0  2990.5 1.27 60 0  2241.5 1.28 60 0  2973.5 1.23 60 0  
64  2175 1.28 60 0  2990.5 1.28 60 0  2368 1.32 60 0  2997.5 1.29 60 0  
65  2158 1.26 60 0  2962.5 1.26 60 0  2107 1.25 60 0  2997.5 1.23 60 0  
66  2295 1.3 60 0  2980 1.3 60 0  2245.5 1.29 60 0  2967.5 1.3 60 0  
67  2170.5 1.26 60 0  2980 1.29 60 0  2285.5 1.29 60 0  2979.5 1.23 60 0  
68  2141 1.26 60 0  2956 1.26 60 0  2090 1.25 60 0  2979.5 1.23 60 0  
69  2361 1.32 60 0  2993 1.28 60 0  2124.5 1.26 60 0  2944.5 1.23 60 0  
70  2107.5 1.25 60 0  2993 1.27 60 0  2142 1.26 60 0  2956.5 1.25 60 0  
71  2301 1.29 60 0  2985.5 1.23 60 0  2259 1.29 60 0  2979 1.26 60 0  
72  2227 1.28 60 0  2985.5 1.23 60 0  2138 1.26 60 0  2979 1.27 60 0  
73  2156.5 1.26 60 0  2974 1.23 60 0  2243.5 1.29 60 0  2974 1.28 60 0  
74  2199.5 1.28 60 0  2958 1.3 60 0  2336 1.32 60 0  2985.5 1.3 60 0  
75  2346.5 1.32 60 0  2993 1.26 60 0  2315 1.3 60 0  2987 1.28 60 0  
76  2131 1.26 60 0  2993 1.27 60 0  2158.5 1.26 60 0  2987 1.28 60 0  
77  2169.5 1.27 60 0  2957 1.27 60 0  2138 1.26 60 0  2951 1.28 60 0  
78  2122.5 1.26 60 0  2957 1.24 60 0  2285 1.29 60 0  2980.5 1.23 60 0  
79  2290 1.29 60 0  2987.5 1.27 60 0  2058.5 1.24 60 0  2980.5 1.27 60 0  
80  2179.5 1.28 60 0  2987.5 1.23 60 0  2184.5 1.28 60 0  2962.5 1.24 60 0  
81  2197.5 1.28 60 0  2962.5 1.3 60 0  2205 1.28 60 0  2962.5 1.27 60 0  
82  2290.5 1.29 60 0  2983 1.26 60 0  2309.5 1.3 60 0  2985.5 1.26 60 0  
83  2235.5 1.28 60 0  2983 1.3 60 0  2198.5 1.28 60 0  2985.5 1.27 60 0  
84  2296.5 1.29 60 0  2983.5 1.27 60 0  2271.5 1.29 60 0  2978.5 1.27 60 0  
85  2226 1.28 60 0  2983.5 1.27 60 0  2113.5 1.25 60 0  2978.5 1.24 60 0  
86  2273.5 1.29 60 0  2980.5 1.26 60 0  2273.5 1.29 60 0  2980.5 1.27 60 0  
87  2197.5 1.28 60 0  2980.5 1.23 60 0  2324.5 1.31 60 0  2990 1.27 60 0  
88  2124 1.26 60 0  2967.5 1.29 60 0  2138 1.26 60 0  2990 1.23 60 0  
89  2168 1.26 60 0  2952.5 1.26 60 0  2161 1.26 60 0  2952.5 1.28 60 0  
90  2245 1.28 60 0  2976.5 1.27 60 0  2240.5 1.28 60 0  2973.5 1.23 60 0  
91  2189.5 1.28 60 0  2976.5 1.26 60 0  2202.5 1.28 60 0  2973.5 1.23 60 0  
92  2056 1.24 60 0  2968.5 1.23 60 0  2243 1.28 60 0  2978 1.23 60 0  
93  2362 1.32 60 0  2994.5 1.3 60 0  2219 1.28 60 0  2978 1.26 60 0  
94  2140.5 1.26 60 0  2994.5 1.26 60 0  2282 1.29 60 0  2978.5 1.24 60 0  
95  2291.5 1.29 60 0  2978 1.26 60 0  2349.5 1.32 60 0  2989 1.26 60 0  
96  2151 1.26 60 0  2978 1.27 60 0  2295 1.29 60 0  2989 1.27 60 0  
