121  31 14 32 20
122  15 7 19 4
123  0 0 0 0
124  38 16 39 26
125  3 0 9 0
126  21 4 7 0
127  16 8 15 0
128  29 19 39 26
129  19 14 21 25
130  24 11 31 18
131  23 12 14 13
132  13 4 23 0
133  9 12 11 9
134  9 5 3 0
135  18 6 24 15
136  28 21 25 14
137  20 19 34 22
138  18 10 21 11
139  28 22 33 19
140  9 0 11 0
141  19 15 10 4
142  24 1 24 6
143  0 0 0 0
144  30 6 15 10
145  10 3 9 0
146  42 24 34 21
147  28 18 26 5
148  12 8 20 3
149  24 9 26 15
150  24 17 24 19
151  5 0 7 0
152  7 5 21 0
153  18 10 10 9
154  0 0 3 0
155  16 3 6 3
156  18 3 6 1
157  44 28 34 26
158  0 0 5 0
159  0 0 6 0
160  13 29 22 17
161  10 8 9 13
162  37 41 31 36
163  54 57 57 63
164  55 47 42 52
165  38 35 44 40
166  31 31 27 36
167  35 46 43 29
168  31 47 43 27
169  45 46 54 40
170  26 20 35 17
171  39 37 38 36
172  38 44 42 49
173  36 34 37 36
174  23 37 30 31
175  16 29 20 26
176  22 12 27 34
177  44 42 36 36
178  34 28 30 25
179  44 42 33 39
180  35 33 28 35
181  27 35 30 39
182  37 35 39 36
183  42 40 25 22
184  29 35 38 31
185  44 39 41 40
186  32 37 38 36
187  36 37 32 36
188  27 32 29 23
189  44 38 38 43
190  19 24 23 28
191  32 43 32 37
192  42 36 37 38
193  38 42 43 46
194  19 26 14 30
195  34 33 24 35
196  41 33 38 49
197  20 37 26 27
198  21 20 32 22
199  28 47 25 27
200  48 57 48 44
201  48 41 38 48
202  36 34 30 47
203  25 32 30 38
204  26 40 38 37
205  32 28 20 19
206  33 36 46 34
207  40 45 25 39
208  27 19 14 34
209  36 40 33 43
210  26 36 25 32
211  59 60 54 51
212  25 26 21 28
213  30 31 31 28
214  45 45 44 49
215  24 35 21 35
216  42 63 43 61
217  50 59 52 52
218  22 21 19 28
219  25 37 24 27
220  34 24 30 38
221  52 42 40 55
222  39 47 55 48
223  59 63 58 63
224  26 28 29 36
225  9 21 14 25
226  35 51 45 53
227  33 41 32 36
228  56 54 45 62
229  46 38 43 29
230  22 10 10 26
231  29 29 36 36
232  28 26 27 31
233  45 43 45 45
234  29 35 27 35
235  9 17 18 25
236  23 34 25 23
237  35 48 28 39
238  37 37 36 45
239  14 23 22 15
240  42 38 43 46
241  49 49 47 50
242  35 39 39 35
243  38 37 35 42
244  22 29 36 27
245  26 38 33 47
246  19 28 18 24
247  36 33 28 38
248  39 39 32 41
249  31 46 35 32
250  38 50 50 37
251  11 8 12 16
252  32 33 23 30
253  32 28 32 37
254  20 15 27 20
255  46 49 50 49
256  23 43 29 36
257  22 20 8 15
258  45 40 33 38
259  21 37 10 27
260  21 23 38 38
261  11 21 16 28
262  0 6 0 4
263  17 17 29 17
264  47 43 42 51
265  32 34 35 35
266  14 13 11 5
267  22 19 17 15
268  40 43 34 39
269  22 23 23 20
270  34 39 42 41
271  30 21 13 24
272  16 9 3 8
273  33 32 27 29
274  30 23 17 24
275  11 16 18 18
276  12 29 21 21
277  14 9 19 16
278  33 34 31 32
279  28 24 28 34
280  24 18 27 19
281  23 15 6 14
282  11 21 18 21
283  46 40 34 41
284  27 18 25 20
285  8 16 4 6
286  28 37 21 29
287  14 19 15 14
288  45 54 55 49
289  32 45 27 42
