76  4574.71 1.71925 7.23848 -88.6536  4584.43 1.73144 7.05656 412.564  4577.11 1.72591 7.21475 -90.8253  4583.06 1.72617 7.04574 416.79  
77  4574.25 1.70875 7.4872 -86.224  4576.04 1.70442 7.29365 418.372  4572.72 1.70231 7.4666 -85.9093  4575.97 1.70578 7.3217 414.362  
78  4574.94 1.71432 7.2793 -87.8936  4583.17 1.7258 7.11667 411.586  4575.81 1.71667 7.26476 -88.5967  4581.91 1.72101 7.12201 413.639  
79  4575.7 1.70944 7.03375 -85.653  4582.21 1.71352 6.83324 410.887  4578.19 1.71522 7.00245 -88.255  4584.34 1.71942 6.83847 411.793  
80  4575.9 1.71821 7.17011 -89.4758  4581.24 1.72075 7.02169 414.251  4576.87 1.72068 7.15822 -90.3603  4579.93 1.71388 7.00303 417.466  
81  4573.8 1.708 7.85406 -82.2269  4571.49 1.69409 7.65707 424.5  4571.42 1.697 7.80391 -80.723  4572.7 1.69681 7.66802 417.38  
82  4577.25 1.73378 7.16517 -88.5623  4582.07 1.72502 6.97221 421.422  4576.84 1.72543 7.12473 -90.6252  4585.17 1.73478 6.99465 413.513  
83  4572.66 1.70197 7.47289 -85.6501  4578.43 1.70858 7.26413 413.271  4579.07 1.72386 7.48436 -90.5585  4580.8 1.71562 7.29091 424.093  
84  4572.43 1.72523 7.61123 -88.1382  4575.61 1.71828 7.40955 423.201  4575.83 1.73483 7.59479 -89.0804  4581.02 1.73024 7.40938 424.14  
85  4572.48 1.71539 7.80438 -84.239  4573.1 1.70984 7.62247 422.575  4573.36 1.71688 7.78842 -85.1367  4573.87 1.71046 7.63149 422.948  
86  4571.1 1.71152 7.79254 -84.2189  4571.34 1.70389 7.63581 422.431  4572.8 1.71265 7.77031 -85.519  4572.1 1.70465 7.64315 423.651  
87  4576.76 1.71535 7.02632 -89.8555  4581.56 1.71889 6.87106 412.899  4580.39 1.73198 7.03123 -91.617  4584.61 1.72774 6.90512 419.388  
88  4574.89 1.7239 7.35621 -88.2216  4581.45 1.72325 7.14151 418.084  4577.11 1.73069 7.35277 -89.401  4583.75 1.72965 7.15579 419.662  
89  4570.82 1.70418 7.73914 -83.163  4571.4 1.69908 7.55702 419.318  4574.48 1.71487 7.72359 -85.9375  4573.84 1.70595 7.58421 422.162  
90  4577.56 1.73314 6.9536 -91.7608  4585.24 1.73481 6.8021 414.86  4579.24 1.73537 6.93864 -93.2829  4585.04 1.73143 6.80407 417.413  
91  4573.91 1.71383 7.05628 -89.6501  4585.56 1.73254 6.90147 406.929  4577.02 1.72247 7.04526 -91.591  4582.66 1.72096 6.9032 414.311  
92  4573.54 1.72849 7.65026 -87.1217  4578.29 1.72187 7.39432 423.345  4573.64 1.72463 7.60207 -88.3471  4580.69 1.72926 7.42873 418.519  
93  4573.92 1.72182 7.29963 -87.9874  4582.63 1.72976 7.11627 414.045  4574.09 1.71338 7.24062 -88.7915  4582.46 1.73197 7.1312 409.86  
94  4565.57 1.69453 7.94248 -75.1238  4568.35 1.69697 7.76461 414.581  4568.68 1.69956 7.89947 -78.8101  4567.7 1.69104 7.77205 418.5  
95  4578.25 1.74207 7.05298 -93.7847  4587.03 1.74441 6.88596 416.516  4575.52 1.73224 7.06109 -91.9266  4583.41 1.7354 6.91996 415.38  
96  4576.31 1.72829 7.28282 -89.8432  4581.26 1.71852 7.02536 420.451  4576.71 1.73119 7.31651 -88.5718  4582.26 1.72058 7.0414 421.518  
97  4575.03 1.73134 7.10964 -90.5062  4586.05 1.73821 6.88956 413.909  4574.14 1.72501 7.10573 -89.3093  4584.96 1.73642 6.91013 411.88  
98  4576.02 1.74623 7.32508 -91.0332  4585.98 1.74802 7.09923 421.251  4577.38 1.74878 7.32669 -90.4571  4582.13 1.73701 7.13862 427.656  
99  4579.86 1.74871 7.16176 -93.3013  4586.65 1.74687 6.98701 421.862  4577.66 1.74442 7.17612 -90.9905  4588.9 1.75144 6.99522 417.478  
100  4581.2 1.75615 6.77082 -98.1205  4588.88 1.7483 6.63606 420.593  4578.86 1.75072 6.80037 -96.5605  4589.96 1.75059 6.66134 417.474  
101  4574.07 1.73522 7.48951 -87.9936  4583.48 1.73441 7.21195 421.187  4572.94 1.72392 7.48094 -88.4835  4580.29 1.72276 7.22098 418.588  
102  4573.99 1.78267 6.4281 -117.596  4598.8 1.77246 6.35544 426.114  4565.78 1.76211 6.48642 -104.026  4596.91 1.76747 6.35456 413.872  
103  4576.74 1.72092 7.19392 -88.285  4578.24 1.70602 6.95996 420.679  4575.71 1.71595 7.19487 -86.7721  4580.76 1.70936 6.95326 415.784  
104  4575.04 1.7399 7.36509 -89.8164  4586.17 1.74543 7.1093 418.02  4577.55 1.74585 7.31889 -90.1682  4582.64 1.73303 7.11813 425.955  
105  4570.35 1.73136 7.80804 -84.7299  4579.98 1.73609 7.53057 418.771  4573.08 1.74038 7.79657 -85.0007  4581.45 1.7389 7.528 423.195  
106  4579.03 1.75432 7.32874 -94.7269  4586.95 1.75594 7.15145 424.124  4579.37 1.75363 7.3154 -93.8472  4584.07 1.74227 7.14236 427.234  
107  4575.5 1.71009 7.19024 -88.7058  4583.05 1.71605 6.96703 411.34  4574.29 1.70884 7.21514 -86.7372  4582.6 1.71231 6.96135 411.96  
108  4574.94 1.72601 7.35743 -89.5043  4584.08 1.72933 7.09237 416.835  4576.06 1.73251 7.3696 -88.5048  4584.16 1.72776 7.09672 420.596  
109  4575.29 1.73182 7.28181 -89.6282  4585.8 1.7401 7.03375 415.685  4577.22 1.73906 7.25424 -89.0279  4586.19 1.73714 7.02734 419.698  
110  4574.49 1.72883 7.55295 -88.737  4580.14 1.72015 7.2438 421.693  4573.83 1.72663 7.56209 -87.6999  4583.4 1.73323 7.30019 417.955  
111  4572.25 1.72798 7.75732 -86.332  4578.82 1.72598 7.44756 422.217  4571.56 1.72373 7.72883 -85.6866  4580.34 1.7275 7.4568 418.542  
112  4566.49 1.69762 7.6357 -83.0058  4573.96 1.71659 7.45393 408.906  4570.38 1.71078 7.66542 -84.6743  4573.42 1.70823 7.43221 417.898  
113  4583.47 1.75098 7.11909 -94.3643  4584.77 1.73078 6.93458 428.61  4580.05 1.74266 7.15726 -91.2623  4587.65 1.73892 6.95088 421.906  
114  4571.7 1.71039 7.63169 -86.57  4582.47 1.73041 7.41561 411.965  4564.75 1.69257 7.68029 -78.9111  4576.25 1.71356 7.39341 407.273  
